year,sex,age,n,deaths
2010,f,0,1,354.568918970351
2010,f,1,1,31.1104443244788
2010,f,2,1,12.0427526417337
2010,f,3,1,23.081942563323
2010,f,4,1,16.0570035223117
2010,f,5,5,39.1389460856347
2010,f,10,5,33.1175697647678
2010,f,15,5,87.3099566525696
2010,f,20,5,111.395461936037
2010,f,25,5,102.363397454737
2010,f,30,5,122.434651857626
2010,f,35,5,172.61278786485
2010,f,40,5,219.780235711641
2010,f,45,5,272.969059879298
2010,f,50,5,308.414686079234
2010,f,55,5,369.311081013168
2010,f,60,5,435.546220542704
2010,f,65,5,500.777797352095
2010,f,70,5,495.759983751372
2010,f,75,5,576.04500136293
2010,f,80,5,594.109130325531
2010,f,85,,947.363207816387
2010,m,0,1,462.418399996206
2010,m,1,1,33.4872676962887
2010,m,2,1,22.3248451308591
2010,m,3,1,22.3248451308591
2010,m,4,1,16.2362510042612
2010,m,5,5,38.5610961351203
2010,m,10,5,51.7530500760825
2010,m,15,5,208.026965992096
2010,m,20,5,352.123693654914
2010,m,25,5,461.718387933677
2010,m,30,5,551.017768457114
2010,m,35,5,617.992303849691
2010,m,40,5,637.272851917251
2010,m,45,5,634.228554853952
2010,m,50,5,663.332246188608
2010,m,55,5,726.572232440687
2010,m,60,5,695.114496119931
2010,m,65,5,682.937307866735
2010,m,70,5,699.173558870997
2010,m,75,5,673.804416676839
2010,m,80,5,592.623161655533
2010,m,85,,731.646060879519
2019,f,0,1,243.585419103529
2019,f,1,1,21.0107232293518
2019,f,2,1,15.007659449537
2019,f,3,1,6.00306377981481
2019,f,4,1,4.00204251987654
2019,f,5,5,31.0158295290432
2019,f,10,5,30.015318899074
2019,f,15,5,77.0393185076234
2019,f,20,5,125.063828746142
2019,f,25,5,132.067403155926
2019,f,30,5,173.08833898466
2019,f,35,5,228.116423632963
2019,f,40,5,268.136848831728
2019,f,45,5,358.18280552895
2019,f,50,5,441.225187816388
2019,f,55,5,573.292590972314
2019,f,60,5,645.329356330092
2019,f,65,5,663.338547669536
2019,f,70,5,774.39522759611
2019,f,75,5,804.410546495184
2019,f,80,5,794.405440195493
2019,f,85,,1428.72917959592
2019,m,0,1,284.865416723333
2019,m,1,1,24.0275407511518
2019,m,2,1,18.0206555633638
2019,m,3,1,7.00803271908594
2019,m,4,1,11.0126228442779
2019,m,5,5,36.0413111267277
2019,m,10,5,51.0585240961975
2019,m,15,5,226.259342073346
2019,m,20,5,496.569175523803
2019,m,25,5,607.69655149788
2019,m,30,5,643.737862624608
2019,m,35,5,641.735567562012
2019,m,40,5,813.932942945266
2019,m,45,5,989.133760922415
2019,m,50,5,1032.18310476823
2019,m,55,5,1135.30130049192
2019,m,60,5,1184.35752952552
2019,m,65,5,1095.25539924
2019,m,70,5,1012.16015414227
2019,m,75,5,925.060318919343
2019,m,80,5,813.932942945266
2019,m,85,,1037.18884242472
2021,f,0,1,199.079552262201
2021,f,1,1,23.0091944825659
2021,f,2,1,5.00199880055781
2021,f,3,1,6.00239856066937
2021,f,4,1,10.0039976011156
2021,f,5,5,28.0111932831238
2021,f,10,5,45.0179892050203
2021,f,15,5,97.0387767308216
2021,f,20,5,149.059564256623
2021,f,25,5,172.068758739189
2021,f,30,5,238.095142906552
2021,f,35,5,273.109134510457
2021,f,40,5,363.406933477758
2021,f,45,5,542.504318081252
2021,f,50,5,677.270637595528
2021,f,55,5,787.3146112078
2021,f,60,5,1006.40215867223
2021,f,65,5,1090.4357385216
2021,f,70,5,1069.42734355926
2021,f,75,5,1118.44693180473
2021,f,80,5,1022.40855483402
2021,f,85,,1732.69238451323
2021,m,0,1,247.396353046062
2021,m,1,1,18.0288840276483
2021,m,2,1,12.0192560184322
2021,m,3,1,8.01283734562145
2021,m,4,1,8.01283734562145
2021,m,5,5,37.0593727234992
2021,m,10,5,52.0834427465394
2021,m,15,5,221.354631672792
2021,m,20,5,564.905032866312
2021,m,25,5,666.067104354783
2021,m,30,5,762.22115250224
2021,m,35,5,875.402480009143
2021,m,40,5,1026.38264900684
2021,m,45,5,1345.86867951259
2021,m,50,5,1548.48081704135
2021,m,55,5,1696.71830793534
2021,m,60,5,1853.97024084316
2021,m,65,5,1645.63646985701
2021,m,70,5,1532.4551423501
2021,m,75,5,1365.18716276025
2021,m,80,5,1133.81648440544
2021,m,85,,1319.11334802293
