year,age,grupo_edad,n,births,female_pop,TEFE,TEFE_1000,sobrevivencia_fem
2010,15,15-19,5,11344,147159,0.0770866885477613,77.0866885477613,0.980276
2010,20,20-24,5,18307,142015,0.128908918072035,128.908918072035,0.976906
2010,25,25-29,5,14258,132038,0.107984065193353,107.984065193353,0.973104
2010,30,30-34,5,9368,131268,0.0713654508334095,71.3654508334095,0.96896
2010,35,35-39,5,4330,128815,0.0336140977370648,33.6140977370648,0.963472
2010,40,40-44,5,842,104483,0.00805872725706574,8.05872725706574,0.955222
2010,45,45-49,5,82,84374,0.000971863370232536,0.971863370232536,0.942574
2019,15,15-19,5,7188,153810,0.0467329822508289,46.7329822508289,0.984362
2019,20,20-24,5,14850,164969,0.0900169122683656,90.0169122683656,0.98127
2019,25,25-29,5,12941,159614,0.081076847895548,81.076847895548,0.977388
2019,30,30-34,5,8587,148766,0.0577215223908689,57.7215223908689,0.972538
2019,35,35-39,5,4058,142751,0.0284271213511639,28.4271213511639,0.96585
2019,40,40-44,5,992,132773,0.00747139855241653,7.47139855241653,0.95716
2019,45,45-49,5,51,122988,0.000414674602400234,0.414674602400234,0.945444
