grupo_edad,TEFE_1000,territorio,year
15-19,46.733,Baja California,2019
20-24,90.017,Baja California,2019
25-29,81.077,Baja California,2019
30-34,57.722,Baja California,2019
35-39,28.427,Baja California,2019
40-44,7.471,Baja California,2019
45-49,0.415,Baja California,2019
15-19,63.359,México,2019
20-24,111.712,México,2019
25-29,104.11,México,2019
30-34,74.593,México,2019
35-39,38.694,México,2019
40-44,10.075,México,2019
45-49,0.808,México,2019
15-19,2.772,Japón,2019
20-24,24.245,Japón,2019
25-29,74.788,Japón,2019
30-34,95.606,Japón,2019
35-39,54.782,Japón,2019
40-44,10.973,Japón,2019
45-49,0.473,Japón,2019
