year,sex,age,n,homicides
2019,f,0,1,4
2019,f,1,1,2
2019,f,2,1,1
2019,f,3,1,1
2019,f,4,1,0
2019,f,5,5,0
2019,f,10,5,1
2019,f,15,5,15
2019,f,20,5,40
2019,f,25,5,29
2019,f,30,5,23
2019,f,35,5,18
2019,f,40,5,18
2019,f,45,5,17
2019,f,50,5,12
2019,f,55,5,2
2019,f,60,5,1
2019,f,65,5,1
2019,f,70,5,0
2019,f,75,5,0
2019,f,80,5,0
2019,f,85,,0
2019,m,0,1,3
2019,m,1,1,0
2019,m,2,1,1
2019,m,3,1,0
2019,m,4,1,0
2019,m,5,5,2
2019,m,10,5,6
2019,m,15,5,108
2019,m,20,5,263
2019,m,25,5,307
2019,m,30,5,294
2019,m,35,5,248
2019,m,40,5,232
2019,m,45,5,170
2019,m,50,5,88
2019,m,55,5,53
2019,m,60,5,30
2019,m,65,5,16
2019,m,70,5,6
2019,m,75,5,2
2019,m,80,5,3
2019,m,85,,0
